source,article_index,title,link,time,category,tokens_no_stop,positive_hits,negative_hits,sentiment_score,sentiment_label
Rbc,1,"Росія таємно рахує мільярдні збитки, поки Путіну малюють ""перемогу"", - розвідка Латвії",https://www.rbc.ua/rus/news/rosiya-taemno-rahue-milyardni-zbitki-poki-1776100399.html,2026-04-13T20:15+02:00,,236,3,11,-0.033898,negative
Rbc,2,"Піхота не знадобилася. Українські роботи вперше захопили позицію росіян, - Зеленський",https://www.rbc.ua/rus/news/pihota-znadobilasya-ukrayinski-roboti-vpershe-1776099239.html,2026-04-13T19:55+02:00,,142,3,1,0.014085,positive
Rbc,3,"Найбільший чорноморський порт РФ працює з обмеженнями після атак України, - Bloomberg",https://www.rbc.ua/rus/news/naybilshiy-chornomorskiy-port-rf-pratsyue-1776097461.html,2026-04-13T19:24+02:00,,180,0,9,-0.05,negative
Rbc,4,"Україну накриє потепління, але не без ""сюрпризів"": прогноз на тиждень",https://www.rbc.ua/rus/news/ukrayinu-nakrie-poteplinnya-ale-syurpriziv-1776093100.html,2026-04-13T19:20+02:00,,327,0,0,0.0,neutral
Rbc,5,ЗСУ перейшли на нові позиції в районі Миропільського на Сумщині: деталі,https://www.rbc.ua/rus/news/zsu-pereyshli-novi-pozitsiyi-rayoni-miropilskogo-1776096547.html,2026-04-13T19:09+02:00,,167,1,3,-0.011976,negative
Rbc,6,Трамп офіційно оголосив про початок морської блокади Ірану,https://www.rbc.ua/rus/news/tramp-ofitsiyno-ogolosiv-pochatok-morskoyi-1776095251.html,2026-04-13T18:53+02:00,,169,1,4,-0.017751,negative
Rbc,7,Китай відповів на заяви про можливе постачання зброї Ірану,https://www.rbc.ua/rus/news/kitay-vidpoviv-zayavi-mozhlive-postachannya-1776094708.html,2026-04-13T18:38+02:00,,122,1,0,0.008197,positive
Rbc,8,"Мадяр зробив заяву, яка точно не сподобається Москві",https://www.rbc.ua/rus/news/madyar-zrobiv-zayavu-ka-tochno-spodobaetsya-1776092200.html,2026-04-13T17:56+02:00,,131,2,1,0.007634,positive
Rbc,9,"Угорщина ""не може відмовитися"" від нафти РФ: Мадяр назвав причину",https://www.rbc.ua/rus/news/ugorshchina-ne-mozhe-vidmovitisya-vid-nafti-1776091552.html,2026-04-13T17:50+02:00,,199,1,9,-0.040201,negative
Rbc,10,"Підтримка захисників Маріуполя масштабується: у Ахметова розповіли про роль ""Серця Азовсталі""",https://www.rbc.ua/rus/news/pidtrimka-zahisnikiv-mariupolya-masshtabuetsya-1776091601.html,2026-04-13T17:46+02:00,,217,19,0,0.087558,positive
Rbc,11,Обов'язково зустрінемося із Зеленським. Мадяр готує розворот у відносинах з Україною,https://www.rbc.ua/rus/news/obov-yazkovo-zustrinemosya-iz-zelenskim-madyar-1776089989.html,2026-04-13T17:21+02:00,,181,3,2,0.005525,positive
Rbc,12,"Результат ударів України? Росії довелося шукати заміну системам ППО ""Панцир""",https://www.rbc.ua/rus/news/rezultat-udariv-ukrayini-rosiyi-dovelosya-1776089288.html,2026-04-13T17:08+02:00,,180,1,2,-0.005556,negative
Rbc,13,"Мадяр розповів, чи планує телефонувати Путіну",https://www.rbc.ua/rus/news/madyar-rozpoviv-chi-planue-telefonuvati-putinu-1776088158.html,2026-04-13T17:01+02:00,,171,3,0,0.017544,positive
Rbc,14,Процес один для всіх. Мадяр виступив проти прискореного членства України в ЄС,https://www.rbc.ua/rus/news/protses-odin-vsih-madyar-vistupiv-proti-priskorenogo-1776088257.html,2026-04-13T16:52+02:00,,123,0,0,0.0,neutral
Rbc,15,Мадяр зробив заяву про 90 млрд євро кредиту для України,https://www.rbc.ua/rus/news/madyar-zrobiv-zayavu-90-mlrd-evro-kreditu-1776088263.html,2026-04-13T16:51+02:00,,207,3,1,0.009662,positive
Rbc,16,Орбан ніколи не повернеться? Мадяр анонсував нове правило для прем'єрів,https://www.rbc.ua/rus/news/orban-nikoli-povernetsya-madyar-anonsuvav-1776086270.html,2026-04-13T16:17+02:00,,154,3,0,0.019481,positive
Rbc,17,"Мадяр: Сіярто знайшовся, він в МЗС знищує документи щодо РФ",https://www.rbc.ua/rus/news/madyar-siyarto-znayshovsya-vin-mzs-znishchue-1776085549.html,2026-04-13T16:13+02:00,,169,0,4,-0.023669,negative
Rbc,18,Чи дійде пил із Сахари до України? Офіційна відповідь синоптиків,https://www.rbc.ua/rus/news/chi-diyde-pil-iz-sahari-ukrayini-ofitsiyna-1776085400.html,2026-04-13T16:10+02:00,,206,1,1,0.0,neutral
Rbc,19,"У Путіна після перемоги Мадяра записали Угорщину в ""недружні країни""",https://www.rbc.ua/rus/news/putina-pislya-peremogi-madyara-zapisali-ugorshchinu-1776084766.html,2026-04-13T15:52+02:00,,256,7,1,0.023438,positive
Rbc,20,"Євро різко падає, долар стабільний: курс на 14 квітня та чи приймають банки ""старі"" долари",https://www.rbc.ua/rus/news/evro-rizko-padae-dolar-stabilniy-kurs-14-1776083565.html,2026-04-13T15:32+02:00,,144,2,1,0.006944,positive
Rbc,21,У РФ палає один з найбільших хімзаводів: критичне підприємство атакували дрони (відео),https://www.rbc.ua/rus/news/rf-palae-odin-naybilshih-himzavodiv-kritichne-1776082177.html,2026-04-13T15:15+02:00,,249,0,5,-0.02008,negative
Rbc,22,"Німеччина розраховує на ""дуже швидкі"" 90 млрд євро Україні після поразки Орбана",https://www.rbc.ua/rus/news/nimechchina-rozrahovue-duzhe-shvidki-90-mlrd-1776081671.html,2026-04-13T15:07+02:00,,182,4,0,0.021978,positive
Rbc,23,У більшість областей України йдуть сильні заморозки до -5,https://www.rbc.ua/rus/news/odnu-oblastey-ukrayini-ydut-silni-zamorozki-1776080205.html,2026-04-13T14:54+02:00,,176,5,0,0.028409,positive
Rbc,24,В Україні ліквідують один з банків-банкрутів: рішення ухвалив НБУ,https://www.rbc.ua/rus/news/ukrayini-likviduyut-odin-bankiv-bankrutiv-1776080047.html,2026-04-13T14:49+02:00,,171,1,0,0.005848,positive
Rbc,25,У зоні ЧАЕС роками незаконно вирощували зерно: є ризик для людей,https://www.rbc.ua/rus/news/zoni-chaes-rokami-nezakonno-viroshchuvali-1776080070.html,2026-04-13T14:35+02:00,,169,0,0,0.0,neutral
Rbc,26,Мінус 800 МВт через штучні обмеження. Як прайс-кепи зупиняють генерацію електроенергії,https://www.rbc.ua/rus/news/minus-800-mvt-cherez-shtuchni-obmezhennya-1776080061.html,2026-04-13T14:34+02:00,,190,1,3,-0.010526,negative
Rbc,27,ДТЕК очолив топ кращих енергетичних компаній України: дані рейтингу,https://www.rbc.ua/rus/news/dtek-ocholiv-top-krashchih-energetichnih-1776078169.html,2026-04-13T14:02+02:00,,119,2,1,0.008403,positive
Rbc,28,Папа Римський відповів Трампу після його звинувачень,https://www.rbc.ua/rus/news/papa-rimskiy-vidpoviv-trampu-pislya-yogo-1776077248.html,2026-04-13T13:49+02:00,,181,0,2,-0.01105,negative
Rbc,29,"Жодної години без тривоги: як ""Аптека 9-1-1"" працює на прифронтових територіях і допомагає людям",https://www.rbc.ua/rus/news/zhodnoyi-godini-trivogi-k-apteka-9-1-1-pratsyue-1776076512.html,2026-04-13T13:43+02:00,,286,11,13,-0.006993,negative
Rbc,30,Україна закупатиме інноваційне озброєння по-новому: що змінюється,https://www.rbc.ua/rus/news/ukrayina-zakupatime-innovatsiyne-ozbroennya-1776076403.html,2026-04-13T13:36+02:00,,166,3,1,0.012048,positive
Rbc,31,"Нова загроза: ворожі ""Шахеди"" почали полювати на екіпажі ППО, - ""Флеш""",https://www.rbc.ua/rus/news/nova-zagroza-vorozhi-shahedi-pochali-polyuvati-1776075822.html,2026-04-13T13:25+02:00,,123,0,6,-0.04878,negative
Rbc,32,Досвід Чорного моря та захист від дронів. Зеленський анонсував нові безпекові угоди,https://www.rbc.ua/rus/news/dosvid-chornogo-morya-ta-zahist-vid-droniv-1776075191.html,2026-04-13T13:14+02:00,,197,8,0,0.040609,positive
Rbc,33,Організовував катування українців: СБУ викрила злочини російського генерала,https://www.rbc.ua/rus/news/organizovuvav-katuvannya-ukrayintsiv-sbu-1776073589.html,2026-04-13T12:48+02:00,,199,0,2,-0.01005,negative
Rbc,34,"""Нова сторінка"" відносин. Україна готує переговори Зеленського з Мадяром",https://www.rbc.ua/rus/news/nova-storinka-vidnosin-ukrayina-gotue-peregovori-1776072686.html,2026-04-13T12:42+02:00,,200,3,1,0.01,positive
Rbc,35,"Тисячі атак за два дні. У Генштабі порахували, як Росія ""дотримувалась"" великоднього перемир'я",https://www.rbc.ua/rus/news/tisyachi-atak-dva-dni-genshtabi-porahuvali-1776072683.html,2026-04-13T12:35+02:00,,129,0,1,-0.007752,negative
Rbc,36,Росія відновила удари по залізниці: евакуацію пасажирів провели на Дніпропетровщині,https://www.rbc.ua/rus/news/rosiya-vidnovila-udari-zaliznitsi-evakuatsiyu-1776072451.html,2026-04-13T12:30+02:00,,206,2,9,-0.033981,negative
Rbc,37,Загроза для перевезень та експорту: металурги закликають змінити правила списання вагонів,https://www.rbc.ua/rus/news/zagroza-perevezen-ta-eksportu-metalurgi-zaklikayut-1776072589.html,2026-04-13T12:29+02:00,,314,8,11,-0.009554,negative
Rbc,38,"Злякався? Сійярто раптово ""зник"" після поразки Орбана на виборах",https://www.rbc.ua/rus/news/zlyakavsya-siyyarto-raptovo-znik-pislya-porazki-1776071524.html,2026-04-13T12:20+02:00,,212,1,1,0.0,neutral
Rbc,39,РФ активізувала наступ на Сумщині: Трегубов розповів про ситуацію біля кордону,https://www.rbc.ua/rus/news/rf-aktivizuvala-nastup-sumshchini-tregubov-1776070223.html,2026-04-13T11:59+02:00,,136,0,1,-0.007353,negative
Rbc,40,"Зупинка Покровська вдарила по ""Метінвесту"", але збитки вдалося скоротити: звіт компанії",https://www.rbc.ua/rus/news/zupinka-pokrovska-vdarila-metinvestu-ale-1776070593.html,2026-04-13T11:56+02:00,,269,2,1,0.003717,positive
Rbc,41,"Фіцо привітав Мадяра з перемогою та згадав про ""Дружбу""",https://www.rbc.ua/rus/news/fitso-privitav-madyara-peremogoyu-ta-zgadav-1776069794.html,2026-04-13T11:50+02:00,,169,9,2,0.04142,positive
Rbc,42,Майбутній прем'єр Угорщини Мадяр розкрив свою позицію щодо Путіна,https://www.rbc.ua/rus/news/maybutniy-prem-er-ugorshchini-madyar-rozkriv-1776069392.html,2026-04-13T11:37+02:00,,185,3,0,0.016216,positive
Rbc,43,"Перемир'я фактично не було: у ЗСУ розповіли, як росіяни використали ""тишу"" на фронті",https://www.rbc.ua/rus/news/peremir-ya-faktichno-bulo-zsu-rozpovili-k-1776067659.html,2026-04-13T11:15+02:00,,128,2,1,0.007812,positive
Rbc,44,Канада може скасувати візи для українців: як це працюватиме,https://www.rbc.ua/rus/news/kanada-mozhe-skasuvati-vizi-ukrayintsiv-k-1776067355.html,2026-04-13T11:03+02:00,,163,0,0,0.0,neutral
Rbc,45,"ГУР ""розібрало"" новий дрон РФ: чиї деталі в ""Князі Вєщій Олєг""",https://www.rbc.ua/rus/news/gur-rozibralo-noviy-dron-rf-chiyi-detali-1776066540.html,2026-04-13T10:52+02:00,,188,1,2,-0.005319,negative
Rbc,46,Лютий ворог Орбана. Хто такий Петер Мадяр і що він казав про Україну,https://www.rbc.ua/rus/news/lyutiy-vorog-orbana-hto-takiy-peter-madyar-1776064968.html,2026-04-13T10:22+02:00,,425,6,2,0.009412,positive
Rbc,47,Ціни на нафту злетіли після заяви Трампа про блокаду Ормузької протоки,https://www.rbc.ua/rus/news/tsini-naftu-zletili-pislya-zayavi-trampa-1776063985.html,2026-04-13T10:07+02:00,,228,0,6,-0.026316,negative
Rbc,48,РФ атакувала енергообʼєкт на Чернігівщині: низка населених пунктів без світла,https://www.rbc.ua/rus/news/rf-atakuvala-energoob-ekt-chernigivshchini-1776062767.html,2026-04-13T09:55+02:00,,111,2,2,0.0,neutral
Rbc,49,Україна скасувала рекомендації не їздити до Угорщини,https://www.rbc.ua/rus/news/ukrayina-skasuvala-rekomendatsiyi-yizditi-1776061831.html,2026-04-13T09:32+02:00,,262,7,0,0.026718,positive
Rbc,50,"""Перемир'я"" закінчилося: чим РФ атакувала Україну цієї ночі і як відпрацювала ППО",https://www.rbc.ua/rus/news/peremir-ya-zakinchilosya-chim-rf-atakuvala-1776059291.html,2026-04-13T08:55+02:00,,166,3,2,0.006024,positive
Rbc,51,Іран пригрозив дорогим бензином після заяви Трампа про морську блокаду,https://www.rbc.ua/rus/news/iran-prigroziv-dorogim-benzinom-pislya-zayavi-1776059052.html,2026-04-13T08:45+02:00,,122,1,4,-0.02459,negative
Rbc,52,Трампа запитали про поразку Орбана на виборах в Угорщині: реакція потрапила на відео,https://www.rbc.ua/rus/news/trampa-zapitali-porazku-orbana-viborah-ugorshchini-1776058435.html,2026-04-13T08:41+02:00,,144,3,0,0.020833,positive
Rbc,53,"Навіщо Україні космічні війська та до чого тут ""Орєшнік"": пояснення нардепа",https://www.rbc.ua/rus/news/navishcho-ukrayini-kosmichni-viyska-ta-chogo-1775821797.html,2026-04-13T08:40+02:00,,208,0,1,-0.004808,negative
Rbc,54,Долар та євро пішли вгору: як змінився курс валют в обмінниках і банках після Великодня,https://www.rbc.ua/rus/news/dolar-ta-evro-pishli-vgoru-k-zminivsya-kurs-1776058161.html,2026-04-13T08:34+02:00,,200,0,1,-0.005,negative
Rbc,55,Таємні операції ГУР: Україна двічі успішно запустила ракети в космос під час війни,https://www.rbc.ua/rus/news/taemni-operatsiyi-gur-ukrayina-dvichi-uspishno-1775819491.html,2026-04-13T08:05+02:00,,188,0,0,0.0,neutral
Rbc,56,Ефект Мадяра: інвестори підняли курс форинта та чекають мільярди від ЄС,https://www.rbc.ua/rus/news/efekt-madyara-investori-pidnyali-kurs-forinta-1776056307.html,2026-04-13T07:58+02:00,,186,3,0,0.016129,positive
Rbc,57,Дефіцит бюджету РФ перевищив річний план: розвідка назвала суму втрат,https://www.rbc.ua/rus/news/defitsit-byudzhetu-rf-perevishchiv-richniy-1776053674.html,2026-04-13T07:25+02:00,,193,1,9,-0.041451,negative
Rbc,58,Якою буде погода в Україні сьогодні та де потеплішає до +15: прогноз синоптика,https://www.rbc.ua/rus/news/koyu-bude-pogoda-ukrayini-sogodni-ta-de-poteplishae-1775996109.html,2026-04-13T07:00+02:00,,100,0,0,0.0,neutral
Rbc,59,"Танкери тікають із Перської затоки, але блокада Трампа може провалитись, - Reuters",https://www.rbc.ua/rus/news/tankeri-tikayut-iz-perskoyi-zatoki-ale-blokada-1776052748.html,2026-04-13T06:59+02:00,,239,3,8,-0.020921,negative
Rbc,60,"Від ""Росіяни, додому"" до ""повернення у Європу"": як угорці та лідери ЄС привітали Мадяра",https://www.rbc.ua/rus/news/vid-rosiyani-dodomu-povernennya-evropu-k-1776047788.html,2026-04-13T05:54+02:00,,428,16,0,0.037383,positive
Rbc,61,"Від ""Росіяни, додому"" до ""повернення у Європу"": як угорці та лідери ЄС привітали Мадяра",https://www.rbc.ua/rus/news/vid-rosiyani-dodomu-povernennya-evropu-k-1776047788.html,2026-04-13T05:54+02:00,,428,16,0,0.037383,positive
Rbc,62,"""Не хочу Папу, який схвалює ядерну зброю Ірану"": Трамп розкритикував главу Ватикану",https://www.rbc.ua/rus/news/ne-hochu-papu-kiy-shvalyue-dernu-zbroyu-iranu-1776047341.html,2026-04-13T05:29+02:00,,213,0,1,-0.004695,negative
Rbc,63,Армія Ізраїлю чекає наказ Трампа: війна з Іраном може зненацька продовжитись,https://www.rbc.ua/rus/news/armiya-izrayilyu-chekae-nakaz-trampa-viyna-1776044384.html,2026-04-13T04:39+02:00,,180,7,4,0.016667,positive
Rbc,64,"Аналог українського ""Фламінго"": Франція розробила дрон Chorus з дальністю 3000 км",https://www.rbc.ua/rus/news/analog-ukrayinskogo-flamingo-frantsiya-rozrobila-1776040190.html,2026-04-13T03:50+02:00,,181,0,0,0.0,neutral
Rbc,65,Мадяр вимагає відставки президента Угорщини та обіцяє посилити НАТО,https://www.rbc.ua/rus/news/madyar-vimagae-vidstavki-prezidenta-ugorshchini-1776039995.html,2026-04-13T03:26+02:00,,191,1,0,0.005236,positive
Rbc,66,Перемир'ю кінець: тисячі людей без світла через удари РФ по Чернігівщині,https://www.rbc.ua/rus/news/peremir-yu-kinets-tisyachi-lyudey-svitla-1776035309.html,2026-04-13T02:33+02:00,,129,1,4,-0.023256,negative
Rbc,67,"Удари по Ірану неминучі? Трамп окреслив, що ""легко вразити""",https://www.rbc.ua/rus/news/udari-iranu-neminuchi-tramp-okresliv-shcho-1776033750.html,2026-04-13T02:12+02:00,,292,1,11,-0.034247,negative
Rbc,68,"Які ""червоні лінії"" окреслили США для Ірану: з'явились подробиці вимог Трампа",https://www.rbc.ua/rus/news/ki-chervoni-liniyi-okreslili-ssha-iranu-z-1776032235.html,2026-04-13T01:41+02:00,,183,1,0,0.005464,positive
Rbc,69,США закривають іранські порти для всього світу: що відомо про блокаду,https://www.rbc.ua/rus/news/ssha-zakrivayut-iranski-porti-vsogo-svitu-1776029798.html,2026-04-13T01:14+02:00,,169,0,8,-0.047337,negative
Rbc,70,"Чи зможе Угорщина змінити ЄС? В Axios назвали умову, за якої Мадяру це вдасться",https://www.rbc.ua/rus/news/chi-zmozhe-ugorshchina-zminiti-es-axios-nazvali-1776028140.html,2026-04-13T00:29+02:00,,178,8,3,0.02809,positive
Rbc,71,"""Україна готова до співпраці"": Зеленський привітав Мадяра з перемогою",https://www.rbc.ua/rus/news/ukrayina-gotova-spivpratsi-zelenskiy-privitav-1776027836.html,2026-04-13T00:03+02:00,,153,6,0,0.039216,positive
Rbc,72,Кінець епохи Орбана: Мадяр здобуває розгромну перемогу на виборах,https://www.rbc.ua/rus/news/kinets-epohi-orbana-madyar-zdobuvae-rozgromnu-1776025655.html,2026-04-12T23:58+02:00,,132,2,0,0.015152,positive
Rbc,73,"Росіяни під час перемир'я дронами вбили полонених військових РФ на Донеччині, - ЗСУ",https://www.rbc.ua/rus/news/rosiyani-pid-chas-peremir-ya-dronami-vbili-1776023253.html,2026-04-12T22:55+02:00,,193,1,1,0.0,neutral
Rbc,74,Орбан визнав поразку на виборах в Угорщині,https://www.rbc.ua/rus/news/orban-viznav-porazku-viborah-ugorshchini-1776023268.html,2026-04-12T22:47+02:00,,143,1,0,0.006993,positive
Rbc,75,Київська кільцева електричка змінює графік: які рейси і коли не поїдуть,https://www.rbc.ua/rus/news/kiyivska-kiltseva-elektrichka-zminyue-grafik-1776022408.html,2026-04-12T22:40+02:00,,115,0,0,0.0,neutral
Rbc,76,"Обіцяли, але не дали: хто ""гальмує"" постачання F-16 для України",https://www.rbc.ua/rus/news/obitsyali-ale-dali-hto-galmue-postachannya-1776020441.html,2026-04-12T22:10+02:00,,154,2,1,0.006494,positive
Rbc,77,Мадяр упевнено лідирує: опубліковано перші результати виборів в Угорщині,https://www.rbc.ua/rus/news/madyar-chi-orban-opublikovano-pershi-rezultati-1776020571.html,2026-04-12T22:02+02:00,,261,5,0,0.019157,positive
Rbc,78,"Британія не братиме участі в американській блокаді Ормузької протоки, - Sky News",https://www.rbc.ua/rus/news/britaniya-bratime-uchasti-amerikanskiy-blokadi-1776018830.html,2026-04-12T21:45+02:00,,145,1,3,-0.013793,negative
Rbc,79,Британія позбавила паспорта свого громадянина через любов до РФ,https://www.rbc.ua/rus/news/britaniya-pozbavila-pasporta-svogo-gromadyanina-1776017770.html,2026-04-12T21:30+02:00,,163,2,0,0.01227,positive
Rbc,80,У Фінляндії знову знайшли безпілотник: прем'єр звернувся з проханням до України,https://www.rbc.ua/rus/news/finlyandiyi-znovu-znayshli-bezpilotnik-prem-1776016584.html,2026-04-12T20:58+02:00,,192,0,1,-0.005208,negative
Rbc,81,Голосування в Угорщині закінчилося: на виборах історична явка,https://www.rbc.ua/rus/news/golosuvannya-ugorshchini-zakinchilosya-viborah-1776015931.html,2026-04-12T20:45+02:00,,209,0,0,0.0,neutral
Rbc,82,"Трамп пригрозив Китаю і не тільки митами, якщо ті передадуть зброю Ірану",https://www.rbc.ua/rus/news/tramp-prigroziv-kitayu-i-tilki-mitami-kshcho-1776013314.html,2026-04-12T20:10+02:00,,114,1,0,0.008772,positive
Rbc,83,Дронами краще всіх керують не геймери: морська піхота США зробила несподіване відкриття,https://www.rbc.ua/rus/news/dronami-krashche-vsih-keruyut-geymeri-morska-1776011672.html,2026-04-12T19:45+02:00,,179,2,0,0.011173,positive
Rbc,84,Кому в Україні відключатимуть світло у понеділок: графіки на 13 квітня,https://www.rbc.ua/rus/news/komu-ukrayini-vidklyuchatimut-svitlo-ponedilok-1776010887.html,2026-04-12T19:35+02:00,,124,0,3,-0.024194,negative
Rbc,85,"""Готові до смерті"": президент Куби відповів Трампу на погрози захопити острів",https://www.rbc.ua/rus/news/gotovi-smerti-prezident-kubi-vidpoviv-trampu-1776010406.html,2026-04-12T19:20+02:00,,192,0,1,-0.005208,negative
Rbc,86,"""У них немає карт, вони виконають умови"": Трамп упевнений, що Іран повернеться до переговорів",https://www.rbc.ua/rus/news/u-nemae-kart-voni-vikonayut-umovi-tramp-upevneniy-1776009270.html,2026-04-12T18:54+02:00,,150,1,0,0.006667,positive
Rbc,87,"Погода суттєво не зміниться, але трохи потеплішає: прогноз в Україні на тиждень (карти)",https://www.rbc.ua/rus/news/pogoda-suttevo-zminitsya-prognoz-ukrayini-1775997987.html,2026-04-12T18:30+02:00,,108,0,0,0.0,neutral
Rbc,88,"Країни НАТО хочуть допомогти розмінувати Ормузьку протоку, - Трамп",https://www.rbc.ua/rus/news/krayini-nato-hochut-dopomogti-rozminuvati-1776006341.html,2026-04-12T18:15+02:00,,163,0,1,-0.006135,negative
Rbc,89,В Естонії на берег моря викинуло уламки дрона: що кажуть в поліції,https://www.rbc.ua/rus/news/estoniyi-bereg-morya-vikinulo-ulamki-drona-1776004589.html,2026-04-12T17:56+02:00,,154,2,1,0.006494,positive
