source,lemma,count
Rbc,україна,448
Rbc,угорщина,155
Rbc,рбк,150
Rbc,мадяр,143
Rbc,квітень,142
Rbc,сша,141
Rbc,трамп,126
Rbc,іран,122
Rbc,повідомляти,121
Rbc,країна,119
Rbc,російський,113
Rbc,президент,109
Rbc,орбан,100
Rbc,посилання,98
Rbc,переговори,91
Rbc,заявити,90
Rbc,росія,84
Rbc,слово,80
Rbc,дрон,75
Rbc,нагадати,73
Suspilne,квітень,172
Suspilne,іран,147
Suspilne,україна,142
Suspilne,заявити,135
Suspilne,військовий,122
Suspilne,повідомити,117
Suspilne,слово,117
Suspilne,трамп,105
Suspilne,мати,98
Suspilne,російський,91
Suspilne,сша,90
Suspilne,іранський,84
Suspilne,угорщина,76
Suspilne,суспільний,65
Suspilne,президент,64
Suspilne,дрон,63
Suspilne,український,61
Suspilne,мадяр,61
Suspilne,країна,57
Suspilne,сила,56
Ukr Pravda,україна,183
Ukr Pravda,мати,95
Ukr Pravda,квітень,93
Ukr Pravda,джерело,88
Ukr Pravda,деталь,83
Ukr Pravda,російський,78
Ukr Pravda,сша,76
Ukr Pravda,іран,75
Ukr Pravda,район,71
Ukr Pravda,заявити,67
Ukr Pravda,нагадати,67
Ukr Pravda,удар,65
Ukr Pravda,повідомити,62
Ukr Pravda,область,57
Ukr Pravda,країна,57
Ukr Pravda,український,57
Ukr Pravda,європейський,55
Ukr Pravda,угорщина,55
Ukr Pravda,президент,53
Ukr Pravda,сила,52
