День,Час,Топ 5,Частота,Сума частот
"День 1
15.02.2026",Ранок,лютого,55,210
,,україни,48,
,,зеленський,39,
,,заявив,34,
,,сша,34,
,Обід,лютого,31,128
,,україни,31,
,,сша,31,
,,області,18,
,,словами,17,
,Вечір,зеленський,33,128
,,лютого,31,
,,україни,26,
,,президент,21,
,,області,17,
"День 2
16.02.2026",Ранок,лютого,73,204
,,україни,48,
,,сша,34,
,,напрямку,25,
,,росії,24,
,Обід,україни,120,306
,,лютого,78,
,,україні,38,
,,словами,36,
,,області,34,
,Вечір,лютого,63,224
,,україни,56,
,,сша,41,
,,україні,33,
,,зокрема,31,
"День 3
17.02.2026",Ранок,лютого,90,280
,,україни,61,
,,області,48,
,,сша,42,
,,telegram,39,
,Обід,лютого,65,218
,,україни,54,
,,словами,34,
,,області,33,
,,повідомили,32,
,Вечір,україни,71,232
,,лютого,54,
,,зеленський,40,
,,росії,35,
,,заявив,32,
"День 4
18.02.2026",Ранок,лютого,84,325
,,україни,75,
,,сша,68,
,,переговорів,49,
,,заявив,49,
,Обід,україни,103,306
,,лютого,70,
,,заявив,47,
,,словами,44,
,,сша,42,
,Вечір,україни,62,237
,,russian,56,
,,лютого,48,
,,сша,37,
,,словами,34,
"День 5
19.02.2026",Ранок,лютого,59,250
,,сша,58,
,,україни,55,
,,зеленський,44,
,,президент,34,
,Обід,україни,110,244
,,лютого,51,
,,рішення,30,
,,повідомили,27,
,,гривень,26,
,Вечір,україни,60,210
,,лютого,54,
,,сша,39,
,,заявив,29,
,,зокрема,28,
"День 6
20.02.2026",Ранок,сша,90,312
,,лютого,82,
,,україни,61,
,,трамп,43,
,,ірану,36,
,Обід,україни,101,340
,,лютого,87,
,,сша,66,
,,словами,44,
,,області,42,
,Вечір,україни,62,201
,,лютого,39,
,,трамп,34,
,,сша,34,
,,рішення,32,
"День 7
21.02.2026",Ранок,лютого,60,220
,,сша,58,
,,україни,41,
,,трамп,34,
,,заявив,27,
,Обід,лютого,38,133
,,україни,35,
,,нагадаємо,21,
,,росії,20,
,,україну,19,
,Вечір,україни,44,147
,,сша,30,
,,лютого,27,
,,заявив,24,
,,україна,22,
