Слово,TF-IDF
березня,3.1686598086036373
україни,2.922592766309421
грн,2.853388163733743
деталі,2.2902397926156888
джерело,2.092552084779097
сша,1.998609502910947
євро,1.9044513227194368
нагадаємо,1.812122990723084
україні,1.7673621330810232
області,1.6091786367528775
україна,1.596853050788188
курс,1.5797533453539485
оборони,1.4534451951946075
заявив,1.4191553289928647
тис,1.394396215422452
зеленський,1.3940487355497346
росії,1.3103172989512848
війни,1.275513059904483
напрямку,1.24703774359189
президент,1.2017855563443665
повідомили,1.1946055141191168
трамп,1.192748075907667
млн,1.1757340906317282
бпла,1.1635105974140734
сили,1.162521524268844
